Fish_ID,Beas_population_code,Population_old_code,Harvested,Sex,Weight_g,Length_mm,Weight_finished,Length_finished,Tank,Acclimation,Treatment,Trial,Distance_moved,Speed,Time_moving,TotalTime,Time_stationary,Percentage_moving,MMR_mghg,SMR_mghg,SGR,Weight_resp,MMR_scaled,SMR_scaled,AS,FSR,fastestFSR,Status,FastestStatus
2Mp,9,3,Small,M,0.12,17,0.13,18,2,N,Hypoxia,1,94.81904197,6.554311657,14.46666667,865.6,851.1333333,2.449168207,0.545,0.027,0.14,0.13,0.144,0.006,0.138,4,17,1,1
3Fb,2,1,Random,F,0.22,21.5,0.58,26.5,3,H,Hypoxia,1,734.0406733,6.841012799,107.3,865.6,758.3,9.049599507,0.641,0.286,1.67,0.45,0.201,0.096,0.105,NA,32,0,1
3Fg,5,2,Random,F,0.3,23.5,0.82,30,3,H,Hypoxia,1,144.73192,6.519455856,22.2,865.6,843.4,1.501848429,0.381,0.213,1.73,0.93,0.132,0.088,0.044,NA,NA,NA,NA
3FL,5,2,Random,F,0.22,21.5,0.69,27.5,3,H,Hypoxia,1,493.8706994,6.225260917,79.33333333,865.6,786.2666667,4.386167591,NA,NA,NA,NA,NA,NA,NA,NA,46,0,1
3Fp,8,3,Random,F,0.18,20.5,0.25,23,3,H,Hypoxia,1,224.291353,6.951178295,32.26666667,865.6,833.3333333,5.418207024,0.54,0.175,0.57,0.29,0.159,0.051,0.108,NA,NA,0,0
3Mb,2,1,Random,M,0.11,18,0.11,18,3,H,Hypoxia,1,228.6149686,6.770433424,33.76666667,865.6,831.8333333,1.089802834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3Mg,5,2,Random,M,0.11,18,0.12,18,3,H,Hypoxia,1,972.769036,7.170287734,135.6666667,865.6,729.9333333,5.191004313,0.341,0.442,0.15,0.12,0.089,0.101,-0.012,58,35,1,1
3ML,8,3,Random,M,0.12,17.5,0.12,18,3,H,Hypoxia,1,383.5548422,6.489929648,59.1,865.6,806.5,23.31715958,NA,NA,NA,NA,NA,NA,NA,5,5,1,1
3Mp,8,3,Random,M,0.15,18.5,0.16,19,3,H,Hypoxia,1,535.2871175,6.504096203,82.3,865.6,783.3,6.997073321,0.564,0.079,0.11,0.16,0.153,0.02,0.133,5,5,1,1
4Fb,2,1,Random,F,0.16,20,0.52,26.5,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,10.29343808,NA,0.221,2.03,NA,NA,NA,NA,NA,NA,NA,NA
4Fg,5,2,Random,F,0.23,22,0.8,30.5,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,2.911275416,0.461,0.283,2.15,0.72,0.154,0.108,0.046,34,34,1,1
4FL,8,3,Random,F,0.19,20,0.35,25,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,13.49738139,NA,NA,NA,NA,NA,NA,NA,NA,24,0,1
4Fp,8,3,Random,F,0.17,20,0.62,27,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,4.409272951,0.523,0.181,2.23,0.43,0.163,0.06,0.103,NA,NA,NA,NA
4Mb,8,1,Random,M,0.09,16,0.01,17,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,6.361675909,0.901,0.185,-3.79,0.1,0.229,0.04,0.189,NA,45,0,1
4Mg,5,2,Random,M,0.1,16.5,0.12,17,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,34.74276032,0.682,0.06,0.31,0.11,0.176,0.013,0.163,NA,41,0,1
4ML,5,2,Random,M,0.11,17,0.13,18,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,14.91836106,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
4Mp,8,3,Random,M,0.09,16,0.09,16,4,N,Hypoxia,1,0,NA,0,876.7333333,876.7333333,10.82486137,1.081,0.075,0,0.09,0.271,0.016,0.255,108,108,1,1
5Fb,1,1,Small,F,0.18,20,0.23,22.5,5,H,Hypoxia,1,0,NA,0,866.4,866.4,10.17791128,0.611,0.202,0.42,0.32,0.183,0.061,0.122,6,6,1,1
5Fg,1,1,Small,F,0.13,18,0.43,25.5,5,H,Hypoxia,1,0,NA,0,866.4,866.4,9.226740604,0.525,0.158,2.06,0.4,0.162,0.051,0.111,6,6,1,1
5FL,6,2,Small,F,0.19,20.5,0.38,24,5,H,Hypoxia,1,0,NA,0,866.4,866.4,1.744454713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5Fp,9,3,Small,F,0.19,21,0.42,25.5,5,H,Hypoxia,1,0,NA,0,866.4,866.4,13.09688848,0.55,0.207,1.37,0.42,0.171,0.068,0.103,6,17,1,1
5Mb,1,1,Small,M,0.07,12.5,0.08,16,5,H,Hypoxia,1,0,NA,0,866.4,866.4,5.71857671,0.266,0.074,0.23,0.09,0.067,0.015,0.052,5,5,1,1
