"Fish_ID"	"Acclimation"	"Sex"	"Weight_finished"	"Treatment"	"MeanTimeSpentMoving"	"SDTimeSpentMoving"	"SkewnessTimeSpentMoving"	"KurtosisTimeSpentMoving"
"1mg"	"Acclimated"	"M"	0.17	"Hypoxia"	127.037691509889	180.055907708834	0.688315631286498	1.5
"1mg"	"Acclimated"	"M"	0.17	"Normoxia"	124.204583728889	178.760977526801	0.703338692910179	1.5
"1mg"	"Acclimated"	"M"	0.17	"Recovery"	51.0107921427778	68.4301578013601	0.704322638144157	1.5
"1ml"	"Acclimated"	"M"	0.14	"Hypoxia"	224.566557779389	314.8183809803	0.663650280779636	1.5
"1ml"	"Acclimated"	"M"	0.14	"Normoxia"	239.637437884278	338.312448141478	0.667399802508853	1.5
"1ml"	"Acclimated"	"M"	0.14	"Recovery"	84.1849902475555	117.268079166843	0.690519553265972	1.5
"1mp"	"Acclimated"	"M"	0.16	"Hypoxia"	160.662930715333	225.778768138705	0.673776400410285	1.5
"1mp"	"Acclimated"	"M"	0.16	"Normoxia"	104.973523842833	147.419322722935	0.690635264689243	1.5
"1mp"	"Acclimated"	"M"	0.16	"Recovery"	236.884249099722	333.395221497888	0.665290100912714	1.5
"2fb"	"Not Acclimated"	"F"	0.72	"Hypoxia"	423.062006659444	592.593622425313	0.653642655345282	1.5
"2fb"	"Not Acclimated"	"F"	0.72	"Normoxia"	556.178667368889	784.994365272356	0.656155483021365	1.5
"2fb"	"Not Acclimated"	"F"	0.72	"Recovery"	408.993837869222	585.14073377641	0.667176642132027	1.5
"2fg"	"Not Acclimated"	"F"	0.34	"Hypoxia"	135.698124529444	184.464228441597	0.655585176268734	1.5
"2fg"	"Not Acclimated"	"F"	0.34	"Normoxia"	320.170657133778	456.666904894533	0.668262926296908	1.5
"2fg"	"Not Acclimated"	"F"	0.34	"Recovery"	351.645383779	501.860542298713	0.667290844566199	1.5
"2fl"	"Not Acclimated"	"F"	0.54	"Hypoxia"	156.488310455556	215.562292970296	0.661234945075895	1.5
"2fl"	"Not Acclimated"	"F"	0.54	"Normoxia"	207.681866870667	292.225991199493	0.668378485833808	1.5
