Fish_ID,Aquarium,Acclimation,MMR_Hypoxic_mg/h/g,MMR_Normoxic__mg/h/g,SMR_Hypoxic__mg/h/g,SMR_Normoxic__mg/h/g,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,MMR_Hypoxic_scaled,MMR_Normoxic_scaled,SMR_Hypoxic_scaled,SMR_Normoxic_scaled,AS_Hypoxic,AS_Normoxic,SGR_length
6fg,6,Normoxia acclimated,0.596,0.831,0.216,0.324,F,0.11,0.45,17,25.5,2.43,0.37,0.182,0.253,0.068,0.102,0.114,0.151,0.7
6fl,6,Normoxia acclimated,0.559,0.736,0.215,0.294,F,0.13,0.65,19.5,27.5,2.77,0.54,0.18,0.237,0.076,0.104,0.104,0.133,0.59
6fp,6,Normoxia acclimated,0.608,0.661,0.171,0.329,F,0.12,0.33,17,23.5,1.74,0.28,0.178,0.194,0.05,0.096,0.128,0.098,0.56
6mb,6,Normoxia acclimated,0.968,1.382,0.155,0.698,M,0.07,0.09,14.5,16,0.43,0.08,0.238,0.34,0.031,0.141,0.207,0.199,0.17
6mg,6,Normoxia acclimated,0.832,1.164,0.176,0.358,M,0.1,0.11,16,17,0.16,0.06,0.197,0.275,0.033,0.067,0.164,0.208,0.1
6mp,6,Normoxia acclimated,0.253,0.732,0.15,0.206,M,0.09,0.09,15.5,16,0,0.09,0.063,0.183,0.031,0.043,0.032,0.14,0.05
7fb,7,Normoxia acclimated,0.876,1.241,0.119,0.341,F,0.2,0.25,20,21.5,0.38,0.21,0.247,0.35,0.032,0.091,0.215,0.259,0.12
7fg,7,Normoxia acclimated,0.272,0.66,0.229,0.163,F,0.22,1.11,22.5,32,2.79,0.81,0.093,0.225,0.091,0.065,0.002,0.16,0.61
7fl,7,Normoxia acclimated,0.666,1.026,0.116,0.274,F,0.2,0.63,20.5,27,1.98,0.45,0.209,0.322,0.039,0.091,0.17,0.231,0.47
7fp,7,Normoxia acclimated,0.488,0.794,0.247,0.279,F,0.25,0.99,22.5,31,2.37,0.66,0.161,0.263,0.092,0.104,0.069,0.159,0.55
7mb,7,Normoxia acclimated,0.613,1.444,0.098,0.194,M,0.13,0.15,18,19,0.25,0.14,0.163,0.384,0.023,0.046,0.14,0.338,0.09
7mg,7,Normoxia acclimated,1.009,0.957,0.336,0.747,M,0.14,0.15,18,19.5,0.12,0.14,0.269,0.255,0.08,0.178,0.189,0.077,0.14
7ml,7,Normoxia acclimated,0.769,1.109,0.108,0.514,M,0.1,0.1,16,16.5,0,0.11,0.198,0.285,0.024,0.114,0.174,0.171,0.05
7mp,7,Normoxia acclimated,0.613,0.947,0.274,0.362,M,0.15,0.18,19,19.5,0.31,0.17,0.168,0.259,0.069,0.091,0.099,0.168,0.04
8fb,8,Hypoxia acclimated,0.724,1.089,0.16,0.283,F,0.21,0.35,21.5,25,0.88,0.34,0.218,0.328,0.049,0.087,0.169,0.241,0.26
8fg,8,Hypoxia acclimated,0.453,0.599,0.305,0.306,F,0.19,0.7,21,29.5,2.25,0.83,0.155,0.205,0.122,0.122,0.033,0.083,0.59
8fl,8,Hypoxia acclimated,0.539,0.807,0.227,0.268,F,0.2,0.79,20.5,31,2.37,0.74,0.181,0.271,0.088,0.103,0.093,0.168,0.71
8fp,8,Hypoxia acclimated,0.474,0.821,0.207,0.24,F,0.2,0.49,22,26,1.54,0.49,0.15,0.26,0.071,0.082,0.079,0.178,0.29
8mb,8,Hypoxia acclimated,0.792,1.261,0.187,0.445,M,0.11,0.16,18,18.5,0.65,0.11,0.204,0.325,0.042,0.099,0.162,0.226,0.05
8mg,8,Hypoxia acclimated,0.764,1.109,0.274,0.487,M,0.11,0.13,16,18,0.29,0.12,0.199,0.289,0.062,0.111,0.137,0.178,0.2
8ml,8,Hypoxia acclimated,0.809,0.989,0.104,0.414,M,0.13,0.15,18,19,0.25,0.15,0.217,0.266,0.025,0.101,0.192,0.165,0.09
8mp,8,Hypoxia acclimated,0.577,1.013,0.157,0.289,M,0.21,0.31,22.5,25,0.67,0.31,0.172,0.301,0.047,0.087,0.125,0.214,0.18
9fb,9,Normoxia acclimated,0.534,0.61,0.193,0.299,F,0.17,0.44,20.5,26,1.64,0.34,0.161,0.184,0.059,0.092,0.102,0.092,0.41
9fl,9,Normoxia acclimated,0.528,1.015,0.142,0.248,F,0.2,0.59,21,28,1.87,0.42,0.164,0.315,0.046,0.081,0.118,0.234,0.5
9fp,9,Normoxia acclimated,0.562,0.727,0.194,0.251,F,0.19,0.82,20,29.5,2.52,0.57,0.182,0.236,0.069,0.09,0.113,0.146,0.67
9mb,9,Normoxia acclimated,0.492,1.153,0.136,0.201,M,0.11,0.12,17,18,0.15,0.12,0.128,0.3,0.031,0.046,0.097,0.254,0.1
9mg,9,Normoxia acclimated,0.998,1.013,0.415,0.524,M,0.1,0.13,17,18,0.45,0.12,0.26,0.264,0.094,0.119,0.166,0.145,0.1
9ml,9,Normoxia acclimated,0.555,0.957,0.24,0.513,M,0.12,0.13,19,18.5,0.14,0.13,0.146,0.252,0.056,0.12,0.09,0.132,-0.05
9mp,9,Normoxia acclimated,0.676,1.093,0.223,0.453,M,0.13,0.17,18,19,0.46,0.16,0.183,0.297,0.055,0.112,0.128,0.185,0.09
